Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Angola,AGO,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,26.3616082993694
Angola,AGO,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,34.2024891287855
Angola,AGO,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,4.07432833855171
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7096.60061493129
Antigua and Barbuda,ATG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..
Antigua and Barbuda,ATG,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,..
Antigua and Barbuda,ATG,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,..
Antigua and Barbuda,ATG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..
Antigua and Barbuda,ATG,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,..
Antigua and Barbuda,ATG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..
Antigua and Barbuda,ATG,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22422.029389552
Argentina,ARG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,7.399395165613
Argentina,ARG,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,4.26016156199587
Argentina,ARG,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,15.9957828960867
Argentina,ARG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,14.3058273001867
Argentina,ARG,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,14.5787445031001
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.0707048841583
Argentina,ARG,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,0.538846944140625
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20551.8331919861
Armenia,ARM,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,3.39960200698604
Armenia,ARM,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,4.36578217600355
Armenia,ARM,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,8.80828526547093
Armenia,ARM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,18.2342217178567
Armenia,ARM,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,17.5228887254593
Armenia,ARM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,20.7305301265762
Armenia,ARM,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,3.37031298905717
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8727.38544721151
Aruba,ABW,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,3.8190220198604
Aruba,ABW,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,-2.06707258538531
Aruba,ABW,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,15.4628476546285
Aruba,ABW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,8.26010931921959
Aruba,ABW,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,8.6615462815853
Aruba,ABW,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.4819427148194
Aruba,ABW,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,38249.0548684635
Australia,AUS,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,6.38712692151669
Australia,AUS,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,4.3251796375
Australia,AUS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,24.7460145598827
Australia,AUS,Gross savings (% of GDP),NY.GNS.ICTR.ZS,22.6402075025806
Australia,AUS,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,23.112660959022
Australia,AUS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,26.2706966202778
Australia,AUS,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,0.000900775021066711
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46276.1506853863
Austria,AUT,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,12.5123180118382
Austria,AUT,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,7.82062542407407
Austria,AUT,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,27.555477438399
Austria,AUT,Gross savings (% of GDP),NY.GNS.ICTR.ZS,25.6529443110837
Austria,AUT,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,25.9080390144015
Austria,AUT,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.8055256927841
Austria,AUT,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,1.67711183482764
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,49879.2664728545
Azerbaijan,AZE,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,13.1278240697167
Azerbaijan,AZE,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,21.6252438746419
Azerbaijan,AZE,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,30.9017453075666
Azerbaijan,AZE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,27.4990142110809
Azerbaijan,AZE,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,28.5913557808236
Azerbaijan,AZE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,27.913519835381
Azerbaijan,AZE,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,12.1454355545503
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17973.0906671734
"Bahamas, The",BHS,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,14.8535576136415
"Bahamas, The",BHS,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,11.6889955718413
"Bahamas, The",BHS,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,23.363086374582
"Bahamas, The",BHS,Gross savings (% of GDP),NY.GNS.ICTR.ZS,20.0674947799392
"Bahamas, The",BHS,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,20.7793892325085
"Bahamas, The",BHS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,24.7628123856607
"Bahamas, The",BHS,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,2.32667648034853
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30696.3383891008
Bahrain,BHR,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,14.0726682276259
Bahrain,BHR,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,19.1295119674905
Bahrain,BHR,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,37.2936591551294
Bahrain,BHR,Gross savings (% of GDP),NY.GNS.ICTR.ZS,24.1111000031615
Bahrain,BHR,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,25.53520651254
Bahrain,BHR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,26.5275780482991
Bahrain,BHR,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46911.9622733638
Bangladesh,BGD,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,25.8324526319127
Bangladesh,BGD,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,26.3496469896606
Bangladesh,BGD,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,22.1584701382232
Bangladesh,BGD,Gross savings (% of GDP),NY.GNS.ICTR.ZS,36.7337698577498
Bangladesh,BGD,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,34.4944768379367
Bangladesh,BGD,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,28.886689247008
Bangladesh,BGD,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,2.33594117122002
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3451.398506706
Barbados,BRB,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..
Barbados,BRB,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,..
Barbados,BRB,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,9.64769442387048
Barbados,BRB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..
Barbados,BRB,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,..
Barbados,BRB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,16.8856978097556
Barbados,BRB,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,0.874947084964554
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17386.9395860396
Belarus,BLR,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,22.299980892643
Belarus,BLR,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,21.2243327332395
Belarus,BLR,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,32.2008910929742
Belarus,BLR,Gross savings (% of GDP),NY.GNS.ICTR.ZS,28.7905754221925
Belarus,BLR,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,30.1019309317222
Belarus,BLR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,29.0346959914608
Belarus,BLR,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,0.830124191264557
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18389.7437502613
Belgium,BEL,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,9.25503898200538
Belgium,BEL,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,3.61068945977925
Belgium,BEL,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,25.0459681680935
Belgium,BEL,Gross savings (% of GDP),NY.GNS.ICTR.ZS,25.0080939418707
Belgium,BEL,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,24.6591039939276
Belgium,BEL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.6279503740568
Belgium,BEL,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,0.216677937727111
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46213.2665340101
Belize,BLZ,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,4.11176196690009
Belize,BLZ,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,-0.795342074334608
Belize,BLZ,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,14.5354910110429
Belize,BLZ,Gross savings (% of GDP),NY.GNS.ICTR.ZS,13.0412593180251
Belize,BLZ,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,13.805848639145
Belize,BLZ,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,20.6054374150181
Belize,BLZ,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8371.37437567136
Benin,BEN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,0.851112027797376
Benin,BEN,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,0.997873927870543
Benin,BEN,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,14.396998246258
Benin,BEN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,15.3322646749313
Benin,BEN,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,15.4545446069739
Benin,BEN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,25.9716954198785
Benin,BEN,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2122.23559175409
Bermuda,BMU,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..
Bermuda,BMU,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,..
Bermuda,BMU,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,..
Bermuda,BMU,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..
Bermuda,BMU,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,..
Bermuda,BMU,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..
Bermuda,BMU,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
Bhutan,BTN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,16.5073031303785
Bhutan,BTN,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,14.0033512412346
Bhutan,BTN,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,23.9682731409364
Bhutan,BTN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,20.9997354041815
Bhutan,BTN,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,22.5637403847691
Bhutan,BTN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,53.9477630362541
Bhutan,BTN,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,8.53162446821843
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8949.83705916897
Bolivia,BOL,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,1.53222596099444
Bolivia,BOL,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,2.54010083058085
Bolivia,BOL,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,14.0850239157884
Bolivia,BOL,Gross savings (% of GDP),NY.GNS.ICTR.ZS,14.2169255442367
Bolivia,BOL,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,14.719664983541
Bolivia,BOL,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,20.2812766506643
Bolivia,BOL,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6882.48891602382
Bosnia and Herzegovina,BIH,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..
Bosnia and Herzegovina,BIH,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,-4.37835877057174
Bosnia and Herzegovina,BIH,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,-3.78322443150616
Bosnia and Herzegovina,BIH,Gross savings (% of GDP),NY.GNS.ICTR.ZS,9.39050121713543
Bosnia and Herzegovina,BIH,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,9.32733978690293
Bosnia and Herzegovina,BIH,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,18.6536300679015
Bosnia and Herzegovina,BIH,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,1.47623074759527
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12013.9824977044
Botswana,BWA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,24.6667064323615
Botswana,BWA,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,17.285249246167
Botswana,BWA,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,27.4019854682429
Botswana,BWA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,37.4495577778279
Botswana,BWA,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,38.0169842425173
Botswana,BWA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,32.6031398070602
Botswana,BWA,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,7.06098531968017
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16724.5177802108
Brazil,BRA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,6.35986143311324
Brazil,BRA,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,2.73033741441354
Brazil,BRA,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,16.2583827610954
Brazil,BRA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,14.2522081188266
Brazil,BRA,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,14.5666783082345
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.4116425416713
Brazil,BRA,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,0.367215116613365
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15813.8554371321
British Virgin Islands,VGB,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..
British Virgin Islands,VGB,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,..
British Virgin Islands,VGB,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,..
British Virgin Islands,VGB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..
British Virgin Islands,VGB,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,..
British Virgin Islands,VGB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..
British Virgin Islands,VGB,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
Brunei Darussalam,BRN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,36.648689221062
Brunei Darussalam,BRN,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,45.9599473843107
Brunei Darussalam,BRN,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,55.1524355945551
Brunei Darussalam,BRN,Gross savings (% of GDP),NY.GNS.ICTR.ZS,57.118053269771
Brunei Darussalam,BRN,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,54.3818316256521
Brunei Darussalam,BRN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,35.2458094273822
Brunei Darussalam,BRN,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,80177.7561183152
Bulgaria,BGR,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,9.23718307629779
Bulgaria,BGR,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,8.69503028317579
Bulgaria,BGR,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,21.3451394972859
Bulgaria,BGR,Gross savings (% of GDP),NY.GNS.ICTR.ZS,22.9286460092667
Bulgaria,BGR,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,23.3988046652316
Bulgaria,BGR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.2360796249966
Bulgaria,BGR,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,1.78954267108626
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18186.4872278588
Burkina Faso,BFA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-5.22459178834996
Burkina Faso,BFA,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,6.44199470048125
Burkina Faso,BFA,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,14.0878397894878
Burkina Faso,BFA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,15.2581197696592
Burkina Faso,BFA,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,15.7684781639365
Burkina Faso,BFA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,24.3282912172543
Burkina Faso,BFA,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,8.12904303268217
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1704.85964271179
Burundi,BDI,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-11.1154955898452
Burundi,BDI,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,-0.654884741125818
Burundi,BDI,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,2.16441558074287
Burundi,BDI,Gross savings (% of GDP),NY.GNS.ICTR.ZS,11.2235230176878
Burundi,BDI,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,11.2295062051167
Burundi,BDI,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,12.1776185793127
Burundi,BDI,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,764.195763294656
Cabo Verde,CPV,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,10.9275333375969
Cabo Verde,CPV,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,7.09837591778133
Cabo Verde,CPV,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,15.9353898171062
Cabo Verde,CPV,Gross savings (% of GDP),NY.GNS.ICTR.ZS,28.1559842187356
Cabo Verde,CPV,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,29.2373381231725
Cabo Verde,CPV,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,30.1865941793728
Cabo Verde,CPV,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,..
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6415.61246182805
Cambodia,KHM,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,11.5038611476245
Cambodia,KHM,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,11.8034577502208
Cambodia,KHM,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,17.7968726347933
